location,title,short_description,price,square_meters,bedrooms,parking,bathroom,cluster,latitude,longitude
san salvador, venta casa zona san jose de la montaña san salvador 30 parqueos,ideal para instituciones y financieras primer nivel: área de oficinas 350m2 - recepción - 3 salones - 7 baños - 4 oficinas separadas - 26/30 estacionamientos área de terreno ...,1000000,1300.0,7,3,7,2,13.6929403,-89.2181911
santa tecla, apartamento santa rosa casa del árbol santa tecla,"construido en 2022 74 m2 más 2 estacionamientos y bodega 2 habitaciones y 2 baños master con walk-in closet 2 parqueos (uno es techado) incluye línea blanca: refrigeradora, lavadora, ...",235000,102.67469879518072,2,2,2,0,13.6757837,-89.2894733
san salvador, venta casa res antibes col escalon san salvador,"3 habitaciones c/u con baño completo y closet cochera techada para 3 vehículos sala comedor cocina área de servicio completa precio de venta: $415,000.00 mayor información: .",415000,102.67469879518072,3,3,3,0,13.6929403,-89.2181911
nuevo cuscatlán, venta de casa en serra nuevo cuscatlan,serra townhouses 175.85 m2 construcción 362.98 v2 de terreno incluye línea blanca y cromada. - jardin doble nivel - estacionamiento para 3 vehículos. - cocina eléctrica y horno ...,410000,362.0,3,3,3,1,13.649671,-89.26810189999999
santa tecla, venta casa ciudad merliot,primer nivel: cochera portón eléctrico - 2 carros sala comedor cocina área servicio completa segundo nivel: 3 habitaciones: principal con baño. 2 y 3 baño completo ...,325000,102.67469879518072,3,2,2,0,13.6757837,-89.2894733
usulután, casa cottage de venta,"casa cottage en venta zona privada, con vista a la montaña. en la hermosa ciudad de alegría, usulutan. ubicada a tan solo 3 cuadras del parque, bonita casa de campo. escapa del ...",200000,146.0,2,2,2,0,13.3453114,-88.4428112
san salvador, vendo o alquilo casa en la maquilishuat 1nivel,vendo o alquiló casa en la maquilishuat 1nivel 1. precio venta: $1.3 millones según valuo negociables 1.1. alquiler $4500.00 incluye mtto. negociable 2. características 2.1. ...,1300000,608.0,7,10,4,1,13.6929403,-89.2181911
la libertad, casa en exclusiva residencial camino al surf city,"preciosa vivienda en residencial las piletas, excelente ubicación, excelente complejo, excelente distribución, excelente vivienda. excelente vecindario lo que había estádo esperando ...",800000,600.0,6,4,6,1,13.6817661,-89.3606298
santa tecla, vendo casa en las colinas santa tecla 1nivel,vendo casa en las colinas de 01nivel en santa tecla 1. precio $110mil fijos.* 2. de pasaje y parqueo comun. 3. sala y comedor 4. cocina 5. 02 baños 6. 03 habitaciones 7. ...,110000,102.67469879518072,3,1,2,0,13.6757837,-89.2894733
san salvador, en venta | apartamento en san francisco tower,"descubre este moderno apartamento ubicado en la exclusiva colonia san francisco, conocida por su alta conectividad. este espacio ofrece amenidades de alto nivel que garantizan un estilo ...",220000,102.67469879518072,2,2,2,0,13.6929403,-89.2181911
san juan opico," en venta | residencia en ciudad versalles, villa paris","bienvenido a esta encantadora casa de un nivel ubicada en ciudad versalles, esta casa ofrece comodidad y espacio para toda la familia. la ubicación es ideal, a solo 5 minutos de ...",175000,240.0,3,2,2,0,13.8758656,-89.3582599
cuscatancingo, casa villahermosa cuscatancingo,"se vende $32,000 - soy dueño directo - documentacion en regla - impuestos alcaldia, agua y luz al dia --------------------------------- condiciones: - no fondo social vivienda ...",32000,102.67469879518072,2,3,1,0,13.7565422,-89.184883
chalatenango," nombre de jesus, chalatenango",lote 854.43 metros cuadrados. llame para mas detalles. para masinformación: ,125000,102.67469879518072,3,1,1,0,14.0411955,-88.9395184
san salvador, apartamento en col. escalon (parte alta),* área de construcción: 117 m2 + 26 m2 de estacionamientos * dos estacionamientos techados * sala * comedor * cocina * baño social * terraza con vista hacia volcán y ciudad * ...,270000,117.0,3,2,3,0,13.6929403,-89.2181911
santa tecla, casa en bosques de santa teresa (santa tecla),"área de terreno (aprox.): 600 m2 área de construcción: 450 m2 * preciosa casa con muy buenos acabados * 3 habitaciones * 3 baños y medio * dormitorio principal en primer nivel, ...",480000,450.0,3,3,3,1,13.6757837,-89.2894733
apopa," casa en venta km 24 troncal del norte, guazapa, a estrenar","a estrenar!!! la propiedad posee 2 niveles: 230.40 v2 = 172.43 mts2 de terreno 318 mts2 de construcción es una oportunidad única, no sólo por la ubicación, tamaño y precio, si no, ...",169000,318.0,5,2,3,0,13.8028238,-89.1798446
antiguo cuscatlán, alquilo o vendo casa madre selva,"vendo casa $2100. zona, embajada americana. no está en pasaje cerrado. casa muy segura. de 2 plantas. cochera para 3 carros. sala, comedor, cocina, baño social, estudio, terraza, ...",475000,320.0,3,4,3,0,13.6640938,-89.25147179999999
ahuachapán, casa en venta en ataco - ahuachapan,"$238,000.00 hermosa casa de campo en el centro de ataco, con una excelente ubicación a tan solo una cuadra del parque central, de esquina de 1 nivel, área de terreno de 393.17 v² y ...",238000,158.0,3,2,1,0,13.9259486,-89.84113819999999
la paz, vendo hermosa casa de campo con piscina y pequeña finca,descripción. la casa se ancuentra a 3 minutos de santiago nonualco en calle principal de san antonio abajo. a 25 minutos del aeropuerto internacional de el salvador y a 15 minutos de ...,168000,198.0,3,8,2,0,13.495364,-88.9796776
santa tecla, vendo casa sta. tecla 1nivel privado esta alquilada para inversionistas,"vendo casa sta. tecla 1nivel privado esta alquilada 1. precio *$235mil neg* 2. medidas: 227v²   -   124m² 3. cochera 02 vehículos 4. sala amplia 5. comedor, cocina en un ...",235000,124.0,4,2,3,0,13.6757837,-89.2894733
ahuachapán, casa en venta en el centro de ahuachapán,"esta hermosa casa de 4 habitaciones cuenta con 2 niveles. en el primer nivel, dispone de estacionamiento para 2 vehículos, sala, cocina, comedor, 1 habitación, 1 baño completo, área ...",225000,300.0,4,2,2,0,13.9259486,-89.84113819999999
